loan_id,loan_date,borrower_segment,requested_amount,duration_months,declared_monthly_income,upi_30d_inflow,upi_90d_inflow,upi_transaction_count,upi_stability_score,utility_on_time_ratio,utility_missed_payment_count,telecom_recharge_regularity,gst_turnover,gst_filing_regularity,ecommerce_settlement_amount,ecommerce_settlement_stability,mobility_usage_consistency,income_volatility,repayment_outcome_known,repayment_default_target,data_provenance
9000001,1993-06-12,gig_worker,108978.78,18,27788.73,8192.52,24577.57,173,0.7396,0.7006,1,0.5518,0.0,0.1147,0.0,0.3916,0.594,0.2484,True,1,SYNTHETIC_SHOWCASE_ONLY
9000002,1996-11-14,informal_worker,52757.49,24,15625.17,3627.77,10883.32,116,0.7076,0.7786,1,0.8257,0.0,0.0697,0.0,0.4687,0.7184,0.3388,True,0,SYNTHETIC_SHOWCASE_ONLY
9000003,1996-04-10,first_time_borrower,118265.36,9,25808.2,6580.81,19742.42,22,0.7608,0.8776,0,0.8592,0.0,0.1828,0.0,0.1927,0.8708,0.3181,True,1,SYNTHETIC_SHOWCASE_ONLY
9000004,1995-03-13,first_time_borrower,35371.35,24,17857.8,6780.14,20340.41,65,0.6017,0.8626,1,0.9504,0.0,0.4339,0.0,0.4088,0.6893,0.4369,True,1,SYNTHETIC_SHOWCASE_ONLY
9000005,1995-03-02,gig_worker,106156.73,12,24509.25,8963.36,26890.07,189,0.7607,0.5873,5,0.5802,0.0,0.6211,0.0,0.2983,0.8633,0.3009,True,1,SYNTHETIC_SHOWCASE_ONLY
9000006,1997-04-17,gig_worker,29570.23,6,8194.35,2282.31,6846.94,135,0.4741,0.5071,0,0.7822,0.0,0.3502,0.0,0.3971,0.6844,0.5772,True,1,SYNTHETIC_SHOWCASE_ONLY
9000007,1993-06-06,first_time_borrower,23788.56,18,16293.45,6584.56,19753.68,91,0.6606,0.8758,0,0.8175,0.0,0.0052,0.0,0.0858,0.7575,0.3944,True,0,SYNTHETIC_SHOWCASE_ONLY
9000008,1996-06-27,first_time_borrower,65388.89,12,56536.65,15035.08,45105.25,144,0.9522,0.683,2,0.4473,0.0,0.5481,0.0,0.2617,0.5706,0.0946,True,0,SYNTHETIC_SHOWCASE_ONLY
9000009,1994-01-03,small_merchant,154001.04,18,41712.27,16690.72,50072.16,186,0.819,0.8298,0,0.701,86728.69,0.9485,45893.42,0.6291,0.8021,0.0968,True,0,SYNTHETIC_SHOWCASE_ONLY
9000010,1993-06-21,informal_worker,68413.84,12,52738.38,21943.53,65830.6,257,0.8819,0.7659,2,0.8902,0.0,0.2857,0.0,0.3583,0.6385,0.1195,True,0,SYNTHETIC_SHOWCASE_ONLY
9000011,1995-08-20,small_merchant,223204.66,18,54506.0,22473.31,67419.94,82,0.5869,0.6508,0,0.9898,174980.49,0.7606,14827.57,0.4681,0.6876,0.4593,True,0,SYNTHETIC_SHOWCASE_ONLY
9000012,1997-11-17,small_merchant,118011.18,36,38676.74,8349.63,25048.9,35,0.8507,0.8357,0,0.5464,84058.14,0.6667,19787.0,0.5942,0.3618,0.0964,True,0,SYNTHETIC_SHOWCASE_ONLY
9000013,1996-09-05,gig_worker,60789.56,12,22529.54,4321.27,12963.81,264,0.7743,0.9276,1,0.563,0.0,0.3667,0.0,0.1509,0.7959,0.213,True,0,SYNTHETIC_SHOWCASE_ONLY
9000014,1996-10-21,gig_worker,30843.81,36,17018.89,4821.75,14465.26,151,0.4535,0.9885,0,0.8867,0.0,0.4476,0.0,0.1502,0.7494,0.4246,True,0,SYNTHETIC_SHOWCASE_ONLY
9000015,1996-08-03,gig_worker,239310.52,12,48552.32,13957.38,41872.14,26,0.7961,0.8649,0,0.8454,0.0,0.5429,0.0,0.5993,0.7586,0.1829,True,0,SYNTHETIC_SHOWCASE_ONLY
9000016,1996-12-06,first_time_borrower,109100.44,6,28881.38,11341.08,34023.23,232,0.337,0.6903,1,0.9453,0.0,0.1961,0.0,0.1291,0.5729,0.7173,True,1,SYNTHETIC_SHOWCASE_ONLY
9000017,1995-07-27,gig_worker,300000.0,12,92696.94,27192.5,81577.5,226,0.5809,0.9521,0,0.7308,0.0,0.233,0.0,0.1523,0.5649,0.5954,True,1,SYNTHETIC_SHOWCASE_ONLY
9000018,1993-08-22,gig_worker,93580.69,24,23498.99,7828.4,23485.19,169,0.8376,0.8966,0,0.739,0.0,0.1094,0.0,0.1853,0.9497,0.1104,True,0,SYNTHETIC_SHOWCASE_ONLY
9000019,1997-03-14,small_merchant,228793.89,18,72182.28,13722.23,41166.69,12,0.4652,0.884,0,0.7792,99259.41,0.9671,45245.45,0.6431,0.7451,0.4971,True,0,SYNTHETIC_SHOWCASE_ONLY
9000020,1995-04-03,gig_worker,122959.81,36,25970.06,5944.45,17833.36,89,0.6962,0.8018,0,0.5103,0.0,0.5695,0.0,0.2825,0.8546,0.4556,True,1,SYNTHETIC_SHOWCASE_ONLY
9000021,1995-07-03,gig_worker,168488.15,24,53170.72,21530.8,64592.4,155,0.5384,0.9595,0,0.974,0.0,0.612,0.0,0.0968,0.5803,0.6035,True,1,SYNTHETIC_SHOWCASE_ONLY
9000022,1994-11-09,small_merchant,182591.28,12,63219.74,21889.65,65668.95,242,0.7298,0.7346,0,0.7587,139224.51,0.803,68882.13,0.5702,0.7424,0.399,True,0,SYNTHETIC_SHOWCASE_ONLY
9000023,1993-11-30,small_merchant,30919.15,24,17136.12,5924.68,17774.03,224,0.7229,0.7188,0,0.3768,39673.37,0.9556,21162.0,0.7666,0.919,0.1962,True,0,SYNTHETIC_SHOWCASE_ONLY
9000024,1997-08-20,informal_worker,40811.92,36,22184.76,4189.85,12569.56,72,0.7609,0.8714,0,0.7735,0.0,0.3373,0.0,0.5259,0.612,0.3202,True,0,SYNTHETIC_SHOWCASE_ONLY
9000025,1996-11-28,first_time_borrower,65525.72,24,17053.82,3533.13,10599.38,194,0.815,0.8922,1,0.411,0.0,0.4532,0.0,0.4415,0.8969,0.2238,True,0,SYNTHETIC_SHOWCASE_ONLY
